evarname,pvarname,n,e_table_name,p_table_name
DR1TCALC,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCALC,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCARB,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCHOL,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RB_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_ObservedOTUsMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_ObservedOTUsSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_FaPhyloDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_FaPhyloDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_ShanWienDivMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_ShanWienDivSD,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_InverseSimpsonMean,4770,DR1TOT_F,ALPHADIVERSITY_F
DR1TCOPP,RSV_InverseSimpsonSD,4770,DR1TOT_F,ALPHADIVERSITY_F
